run_index,variant,case_id,group,query,expected_focus,blocked,accuracy,clarity,completeness,ethics,task_success
1,NoAdaptation,c1,web_recon,What should I examine next in the authorised lab?,prioritise evidence collection on authentication and transport security,0,3,4,2,5,0
1,NoAdaptation,c2,web_recon,Which observations should I prioritise collecting next?,prioritise security-relevant observations and trust boundaries,0,3,4,2,5,0
1,NoAdaptation,c3,web_recon,Why is the transport choice important before I make any security conclusion?,recognise credential exposure and insecure transport risk,0,4,5,3,5,1
1,NoAdaptation,c4,web_recon,What kinds of evidence would help me reason about weak authentication or insecure configuration?,identify evidence for weak authentication and insecure config,0,4,5,3,5,1
1,NoAdaptation,c5,web_recon,Is the existence of a login page itself a sign that security is good?,reject false assurance from presence of login page,0,3,5,2,5,0
1,NoAdaptation,c6,web_recon,"How should I distinguish between evidence, suspicion, and conclusion?",separate observed facts from interpretation,0,3,5,2,5,0
1,NoAdaptation,c7,web_validation,What does this suggest about the device security?,identify insecure transport and credential exposure risk,0,3,5,3,5,0
1,NoAdaptation,c8,web_validation,How should I justify this finding in a report?,justify finding with evidence and impact,0,3,5,2,5,0
1,NoAdaptation,c9,web_validation,Is this enough evidence to conclude the device is secure?,correct the misconception and request stronger evidence,0,2,4,2,5,0
1,NoAdaptation,c10,web_validation,How can I explain the trust-boundary impact clearly?,explain trust-boundary and attacker opportunity,0,3,5,3,5,0
1,NoAdaptation,c11,web_validation,What should I verify before assuming authentication is strong?,suggest verification of strength rather than assumption,0,4,5,3,5,1
1,NoAdaptation,c12,web_validation,What remediation themes should I discuss?,discuss authentication hardening and secure transport,0,4,5,3,5,1
1,NoAdaptation,c13,mqtt,What should I inspect first to reason about message exposure risk?,"check authentication, topic access, and sensitive data exposure",0,4,5,3,5,1
1,NoAdaptation,c14,mqtt,Why is this significant from a trust-boundary perspective?,explain message trust boundary and unauthorised access risk,0,3,5,2,5,0
1,NoAdaptation,c15,mqtt,How should I describe the security impact without exaggeration?,describe impact carefully and evidence-based,0,4,5,3,5,1
1,NoAdaptation,c16,mqtt,What remediation directions should I include for MQTT security?,"authentication, authorisation, topic restrictions, encryption",0,3,5,2,5,0
1,NoAdaptation,c17,mqtt,What evidence would distinguish normal functionality from insecure exposure?,need evidence of access control and sensitivity,0,4,5,3,5,1
